nuts3_id,nuts3_name,elevation_mean,elevation_min,elevation_max,elevation_std,n_valid_pixels
NL423,Zuid-Limburg,107.33694458007812,19.931785583496094,325.0330810546875,48.92856216430664,81106
NL414,Zuidoost-Noord-Brabant,26.183753967285156,4.350454330444336,60.611141204833984,7.5998663902282715,180926
NL111,Oost-Groningen,2.912997245788574,-8.9705810546875,35.83864974975586,4.280665874481201,109698
NL112,Delfzijl en omgeving,-0.04156454652547836,-4.047389030456543,25.34152603149414,2.0203473567962646,35413
NL421,Noord-Limburg,25.796268463134766,7.0,90.42168426513672,8.558173179626465,105938
NL422,Midden-Limburg,31.61931800842285,13.5,99.2204818725586,9.525425910949707,85555
NL310,Utrecht,5.241825103759766,-11.294922828674316,84.30422973632812,10.752593040466309,182545
NL323,IJmond,4.16355562210083,-4.458866596221924,42.11807632446289,5.958371162414551,22321
NL324,Agglomeratie Haarlem,6.466856956481934,-5.897153854370117,55.30887985229492,7.365409851074219,17580
NL325,Zaanstreek,-1.0871062278747559,-5.5,21.828454971313477,2.4668641090393066,16226
NL327,Het Gooi en Vechtstreek,4.101048946380615,-4.010700702667236,47.52724838256836,7.80450963973999,34401
NL328,Alkmaar en omgeving,1.461774230003357,-7.643522262573242,57.13532257080078,7.353569030761719,38394
NL225,Achterhoek,19.244800567626953,1.5,99.28960418701172,10.382471084594727,195986
NL226,Arnhem/Nijmegen,21.2969970703125,1.5328747034072876,117.73065948486328,22.823989868164062,120030
NL230,Flevoland,-1.632434606552124,-11.598929405212402,27.2058162689209,2.8865983486175537,306556
NL321,Kop van Noord-Holland,-0.7275367975234985,-7.929405689239502,25.01865577697754,2.3939859867095947,193573
NL224,Zuidwest-Gelderland,3.5364153385162354,-6.567410945892334,39.6127815246582,2.4339687824249268,94838
NL113,Overig Groningen,0.6933925151824951,-4.636780738830566,28.79380226135254,2.44515323638916,165292
NL124,Noord-Friesland,0.5818520784378052,-5.5310282707214355,42.29225540161133,2.102778434753418,207184
NL125,Zuidwest-Friesland,-0.2905470132827759,-6.0,31.95903968811035,1.6836527585983276,177882
NL126,Zuidoost-Friesland,2.8741650581359863,-4.730749130249023,38.24615478515625,4.543853759765625,129557
NL132,Zuidoost-Drenthe,15.759477615356445,3.170771360397339,49.43925094604492,6.619381904602051,117774
NL133,Zuidwest-Drenthe,9.099692344665527,-2.0,41.11643981933594,6.22703218460083,88981
NL211,Noord-Overijssel,4.372689723968506,-4.522745609283447,73.81489562988281,5.859533309936523,190004
NL212,Zuidwest-Overijssel,6.672125816345215,-1.934910774230957,38.6954231262207,4.395905494689941,53877
NL213,Twente,22.69675636291504,4.24308967590332,102.70819091796875,13.65244197845459,189950
NL221,Veluwe,24.86682891845703,-1.5578548908233643,124.15563201904297,22.507953643798828,234961
NL412,Midden-Noord-Brabant,11.25168228149414,-5.936246395111084,51.911155700683594,9.540788650512695,116289
NL329,Groot-Amsterdam,-1.4195517301559448,-10.690616607666016,30.368932723999023,2.9825289249420166,110754
NL332,Agglomeratie ’s-Gravenhage,2.498399257659912,-6.645357608795166,35.398963928222656,5.992523670196533,33267
NL333,Delft en Westland,0.3478904664516449,-4.5,23.448486328125,2.7172648906707764,19317
NL337,Agglomeratie Leiden en Bollenstreek,0.8531509041786194,-11.670032501220703,29.68938636779785,4.607273101806641,37671
NL33A,Zuidoost-Zuid-Holland,-0.05931183323264122,-4.803048133850098,28.70493507385254,2.0919227600097656,64247
NL33B,Oost-Zuid-Holland,-2.1371209621429443,-8.290668487548828,15.453964233398438,2.0056538581848145,65437
NL33C,Groot-Rijnmond,0.42452722787857056,-11.34720516204834,36.24343490600586,2.972378969192505,187180
NL341,Zeeuwsch-Vlaanderen,1.3715627193450928,-4.78860330581665,29.75046730041504,1.6813329458236694,92675
NL342,Overig Zeeland,0.6901491284370422,-5.408437252044678,39.28668975830078,2.5101988315582275,146793
NL411,West-Noord-Brabant,5.520191192626953,-5.360106945037842,46.24579620361328,6.957442283630371,162323
NL413,Noordoost-Noord-Brabant,11.42795467376709,-15.559990882873535,46.557559967041016,6.790152549743652,172982
NL131,Noord-Drenthe,11.974593162536621,-2.5,52.89912796020508,7.719456195831299,136116
