NUTS_ID,NAME_LATN,Brikgronden,Dikke eerdgronden,Gedefinieerde associaties,Kalkhoudende zandgronden,Kalkloze zandgronden,Kalksteen verweringsgronden,Keileemgronden,Leemgronden,Moerige gronden,Niet-gerijpte minerale gronden,Oude rivierkleigronden,Podzolgronden,Rivierkleigronden,Veengronden,Zeekleigronden,Zeer oude fluviatiele afzettingen,Zeer oude mariene afzettingen,dominant_main_class,dominant_fraction
NL111,Oost-Groningen,0.0,0.0009903452993319786,0.007775760479820425,0.0,0.11192972823594641,0.0,0.0025133960878448874,0.0,0.17668156416219769,0.005278540242893412,0.0,0.3933586572340902,0.0,0.036936882369175306,0.26453512588869965,0.0,0.0,Podzolgronden,0.3933586572340902
NL112,Delfzijl en omgeving,0.0,0.0,0.0,0.0,0.001288467747899082,0.0,0.0,0.0,0.008746342045942795,0.002992336308002833,0.0,0.00407246397080451,0.0,0.03576200625717273,0.947138383670178,0.0,0.0,Zeekleigronden,0.947138383670178
NL113,Overig Groningen,0.0,0.013892483113597356,0.008409928854544784,0.037347727199465615,0.0157607525231472,0.0,0.0012861029273854134,0.0,0.09183315418134468,0.006038421237610082,0.0,0.16540938720445517,0.0,0.08540267520607596,0.5746193675523739,0.0,0.0,Zeekleigronden,0.5746193675523739
NL124,Noord-Friesland,0.0,0.013326868843041266,0.01174716857549971,0.05824767685238419,0.08345630473078659,0.0,0.0001570579503079795,0.0,0.04302964091800825,0.012667013362672706,0.0,0.09369406669698695,0.0,0.05538804311084986,0.6282861589594625,0.0,0.0,Zeekleigronden,0.6282861589594625
NL125,Zuidwest-Friesland,0.0,0.008086372478174482,0.00949998720982741,0.01668945956037986,0.00237794700797711,0.0,0.0009115644910740495,0.0,0.09144643863544533,0.0,0.0,0.12852765212447093,0.0,0.3169477263720698,0.425512852120581,0.0,0.0,Zeekleigronden,0.425512852120581
NL126,Zuidoost-Friesland,0.0,0.006744350948264401,0.028700246930720475,0.0,0.05967393157691477,0.0,0.0015082263077100758,0.0,0.15625928597836633,0.0,0.0,0.5091730712724492,0.0,0.21258776219759473,0.02535312478798003,0.0,0.0,Podzolgronden,0.5091730712724492
NL131,Noord-Drenthe,0.0,0.01777188905832401,0.022492349105285546,0.0,0.08772871192859175,0.0,0.008042678254066505,0.0,0.11836612380128599,0.0,0.0,0.6478316942888577,0.0,0.09773136075850591,3.519280508272526e-05,0.0,0.0,Podzolgronden,0.6478316942888577
NL132,Zuidoost-Drenthe,0.0,0.006415484042327646,0.011847214191502937,0.0,0.11619362039067972,0.0,0.0010647734493706353,0.0,0.24271548476091856,0.0,0.0,0.4374158893550593,7.674434356090215e-07,0.18434676636670558,0.0,0.0,0.0,Podzolgronden,0.4374158893550593
NL133,Zuidwest-Drenthe,0.0,0.039524229702034286,0.013657336995682298,0.0,0.12526201616669935,0.0,0.00472139474592846,0.0,0.18562111278666016,0.0,0.0,0.5396904544614857,0.0,0.09152345514150986,0.0,0.0,0.0,Podzolgronden,0.5396904544614857
NL211,Noord-Overijssel,0.0,0.03576985210424128,0.09548045212315642,0.014106091205724754,0.18301180548551066,0.0,0.00019314305293476606,0.0,0.10878039906243235,0.0,0.0,0.3030854886157095,0.048363878332482096,0.1681351288037257,0.04307376121408256,0.0,0.0,Podzolgronden,0.3030854886157095
NL212,Zuidwest-Overijssel,0.0,0.09738622580359656,0.034961939527988886,0.014664828378800619,0.2414502031681426,0.0,0.0,0.00563038497437855,0.008508567929546624,0.0,0.0,0.4508405989719703,0.1465572512455758,0.0,0.0,0.0,0.0,Podzolgronden,0.4508405989719703
