nuts3_id,nuts3_name,skill_all,brier_all,rank_score_all,skill_jja,brier_jja,rank_score_jja,delta_skill_jja_minus_all
NL111,Oost-Groningen,,0.13847413703204103,-0.13847413703204103,,0.2319877092588623,-0.2319877092588623,
NL112,Delfzijl en omgeving,,0.174829244525469,-0.174829244525469,,0.28387749460047185,-0.28387749460047185,
NL113,Overig Groningen,,0.14393611410994203,-0.14393611410994203,,0.25828068304583257,-0.25828068304583257,
NL124,Noord-Friesland,,0.19135525843494516,-0.19135525843494516,,0.30357004376767416,-0.30357004376767416,
NL125,Zuidwest-Friesland,,0.10692595744733455,-0.10692595744733455,,0.15950114934584111,-0.15950114934584111,
NL126,Zuidoost-Friesland,,0.13113572936849488,-0.13113572936849488,,0.213602361059161,-0.213602361059161,
NL131,Noord-Drenthe,,0.17606467718124735,-0.17606467718124735,,0.30835155756091914,-0.30835155756091914,
NL132,Zuidoost-Drenthe,,0.0850037651348132,-0.0850037651348132,,0.15986076986029568,-0.15986076986029568,
NL133,Zuidwest-Drenthe,,0.1315674684209965,-0.1315674684209965,,0.23593647544711707,-0.23593647544711707,
NL211,Noord-Overijssel,,0.1550625797097573,-0.1550625797097573,,0.24898930692579055,-0.24898930692579055,
NL212,Zuidwest-Overijssel,,0.29868865461427674,-0.29868865461427674,,0.42415808492336754,-0.42415808492336754,
NL213,Twente,0.2273304473304473,0.3361208112176614,0.2273304473304473,,0.4470281466083038,-0.4470281466083038,
NL221,Veluwe,0.17648878898878895,0.35377013018437087,0.17648878898878895,,0.5104457900110546,-0.5104457900110546,
NL224,Zuidwest-Gelderland,,0.19373594855832926,-0.19373594855832926,,0.31544672618066316,-0.31544672618066316,
NL225,Achterhoek,0.30216235032024513,0.320959261227154,0.30216235032024513,,0.4773584291323842,-0.4773584291323842,
NL226,Arnhem/Nijmegen,,0.25821276109227576,-0.25821276109227576,,0.3770960787510821,-0.3770960787510821,
NL230,Flevoland,,0.18032841268961794,-0.18032841268961794,,0.2852351467374784,-0.2852351467374784,
NL310,Utrecht,0.08280723905723908,0.24664068152967591,0.08280723905723908,,0.3396954182987658,-0.3396954182987658,
NL321,Kop van Noord-Holland,,0.18015183076667882,-0.18015183076667882,,0.2926477765509923,-0.2926477765509923,
NL323,IJmond,,0.10091566028368412,-0.10091566028368412,,0.16554401641383357,-0.16554401641383357,
NL324,Agglomeratie Haarlem,,0.11702603558536986,-0.11702603558536986,,0.19686010449420638,-0.19686010449420638,
NL325,Zaanstreek,,0.09444449509910444,-0.09444449509910444,,0.1549912223684386,-0.1549912223684386,
NL327,Het Gooi en Vechtstreek,,0.17934402236134803,-0.17934402236134803,,0.28725125147394986,-0.28725125147394986,
NL328,Alkmaar en omgeving,,0.1491655287470289,-0.1491655287470289,,0.23410619811188865,-0.23410619811188865,
NL329,Groot-Amsterdam,0.39759650072150066,0.17408129288661828,0.39759650072150066,,0.2438121988106503,-0.2438121988106503,
NL332,Agglomeratie ’s-Gravenhage,,0.12064900254521027,-0.12064900254521027,,0.1821069223539115,-0.1821069223539115,
NL333,Delft en Westland,0.09365606980738561,0.1914578688709319,0.09365606980738561,,0.2640367965720136,-0.2640367965720136,
NL337,Agglomeratie Leiden en Bollenstreek,,0.16754014461220693,-0.16754014461220693,,0.28447509853551534,-0.28447509853551534,
NL33A,Zuidoost-Zuid-Holland,,0.17580834694195677,-0.17580834694195677,,0.27415761043803205,-0.27415761043803205,
NL33B,Oost-Zuid-Holland,,0.11643009973953597,-0.11643009973953597,,0.15918426139341452,-0.15918426139341452,
NL33C,Groot-Rijnmond,0.5827272727272728,0.27644126983856315,0.5827272727272728,,0.4254199125462117,-0.4254199125462117,
NL341,Zeeuwsch-Vlaanderen,0.2542064838756015,0.22245374353214986,0.2542064838756015,,0.2869145676232961,-0.2869145676232961,
NL342,Overig Zeeland,0.24201002808210867,0.1955295763699023,0.24201002808210867,,0.24212268742606485,-0.24212268742606485,
NL411,West-Noord-Brabant,0.2053615001556178,0.28996721302840844,0.2053615001556178,,0.36810948430930635,-0.36810948430930635,
NL412,Midden-Noord-Brabant,0.265351430976431,0.28967977930059635,0.265351430976431,,0.38231601153280126,-0.38231601153280126,
NL413,Noordoost-Noord-Brabant,0.202433673828383,0.3177418724009791,0.202433673828383,,0.4188943581410249,-0.4188943581410249,
NL414,Zuidoost-Noord-Brabant,0.31038589800619876,0.3308968190108181,0.31038589800619876,,0.4158949904558774,-0.4158949904558774,
NL421,Noord-Limburg,,0.2855960262862703,-0.2855960262862703,,0.3950791738732459,-0.3950791738732459,
NL422,Midden-Limburg,0.13136216208971624,0.2882293135594098,0.13136216208971624,,0.42640291235129163,-0.42640291235129163,
NL423,Zuid-Limburg,0.42034632034632025,0.22833096812250817,0.42034632034632025,,0.38186160614974074,-0.38186160614974074,
