year_month,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill
2024-01-01,400.0,10.0,10.0,0.0,0.025,0.2115412387003245,0.07660452518008397,,
2024-02-01,370.0,11.0,10.0,0.0,0.02972972972972973,0.2509196474916837,0.10356867696056629,,
2024-03-01,400.0,27.0,10.0,2.0,0.0675,0.31463393669152706,0.13384777760544161,0.5667453475643132,0.4167453475643131
2024-04-01,400.0,21.0,10.0,0.0,0.052500000000000005,0.41907169632450925,0.21812044999276656,,
2024-05-01,400.0,23.0,10.0,1.0,0.05750000000000001,0.5723881378196207,0.3495970767503318,0.39308607303963344,0.09308607303963345
2024-06-01,400.0,22.0,10.0,1.0,0.05500000000000001,0.5272583463071097,0.2941405437201883,0.914002664002664,0.564002664002664
2024-07-01,400.0,27.0,10.0,3.0,0.0675,0.455875038928653,0.23950149435996898,0.20197387906747513,0.06030721240080847
2024-08-01,400.0,15.0,10.0,0.0,0.0375,0.4560667451269209,0.25193472037952064,,
2024-09-01,400.0,25.0,10.0,2.0,0.0625,0.39299065450657766,0.18386497183218567,0.511433839458033,0.33643383945803296
2024-10-01,400.0,9.0,10.0,0.0,0.0225,0.2644422507143149,0.11017803776916117,,
2024-11-01,400.0,12.0,10.0,0.0,0.030000000000000006,0.22397737752058205,0.09032480767320443,,
2024-12-01,400.0,40.0,10.0,6.0,0.1,0.18902741460321543,0.08518447745172746,0.7054867620004496,0.5596534286671163
2025-01-01,400.0,5.0,10.0,0.0,0.0125,0.2523181690471772,0.09703854252136684,,
2025-02-01,400.0,17.0,10.0,0.0,0.042499999999999996,0.3214541194011441,0.15345053624734328,,
2025-03-01,400.0,68.0,10.0,8.0,0.17,0.5404131765668725,0.2820854096308395,0.4784357637688868,0.2690607637688868
2025-04-01,400.0,114.0,10.0,9.0,0.285,0.5639014150979778,0.2890168710801966,0.5267200823456041,0.21560897123449296
2025-05-01,400.0,43.0,10.0,5.0,0.1075,0.6754161998004289,0.42332078565309966,0.4793453581442712,0.29934535814427116
2025-06-01,400.0,147.0,10.0,9.0,0.3675,0.6563096335262398,0.3031443714661043,0.6179373254233577,0.21515954764557998
2025-07-01,400.0,79.0,10.0,7.0,0.1975,0.5564198983876021,0.2798747043017788,0.5565159515163213,0.3029445229448927
2025-08-01,400.0,33.0,10.0,3.0,0.08249999999999999,0.6067080525132643,0.37027971948124194,0.5663017135986891,0.3746350469320225
2025-09-01,400.0,13.0,10.0,1.0,0.0325,0.34427350864924716,0.16357727231860203,0.2940337112750906,0.1190337112750906
