drought_bin,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill
dry,1410.0,187.0,10.0,9.0,0.13262411347517733,0.5061264971277339,0.26615011915804676,0.32911872047454616,0.18491068264948704
near_normal,1650.0,290.0,10.0,10.0,0.17575757575757572,0.5383931875967345,0.2884351116066144,0.3598990627318436,0.18414148697426785
wet,5310.0,284.0,10.0,10.0,0.053483992467043315,0.35944405897938414,0.17799729688845786,0.13540292330469167,0.08191893083764837
