year_month,n,n_pos,n_classes,n_classes_pr,macro_prevalence,macro_mean_pred,macro_brier,macro_pr_auc,macro_skill
2023-12-01,400.0,31.0,10.0,3.0,0.07749999999999999,0.18289796444826986,0.0808608045234113,0.42555618785356336,0.27555618785356334
2024-01-01,400.0,10.0,10.0,0.0,0.025,0.2288381141764324,0.09047266881594077,,
2024-02-01,370.0,11.0,10.0,0.0,0.02972972972972973,0.25111010369413606,0.1053637222731845,,
2024-03-01,400.0,27.0,10.0,2.0,0.0675,0.2850796378518105,0.11791181907541157,0.6279428904428904,0.47794289044289046
2024-04-01,400.0,21.0,10.0,0.0,0.052500000000000005,0.37918821610282694,0.18691255476317192,,
2024-05-01,400.0,23.0,10.0,1.0,0.05750000000000001,0.5170800880975097,0.2924205915778396,0.3511536053815466,0.05115360538154662
2024-06-01,400.0,22.0,10.0,1.0,0.05500000000000001,0.5484870372102582,0.31497864790229263,0.9104395604395605,0.5604395604395606
2024-07-01,400.0,27.0,10.0,3.0,0.0675,0.46709778143042097,0.24950070872703872,0.18682990144708955,0.04516323478042291
2024-08-01,400.0,15.0,10.0,0.0,0.0375,0.43787995774577004,0.2297784190730198,,
2024-09-01,400.0,25.0,10.0,2.0,0.0625,0.3355926948680068,0.14066404874320643,0.539084255957321,0.36408425595732097
2024-10-01,400.0,9.0,10.0,0.0,0.0225,0.24575280567061014,0.09326824700770205,,
2024-11-01,400.0,12.0,10.0,0.0,0.030000000000000006,0.23568833955470764,0.09264559831835646,,
2024-12-01,400.0,40.0,10.0,6.0,0.1,0.20569384989125222,0.08754052215936634,0.6786950624047398,0.5328617290714065
2025-01-01,400.0,5.0,10.0,0.0,0.0125,0.2575761576814616,0.09486582938247651,,
2025-02-01,400.0,17.0,10.0,0.0,0.042499999999999996,0.32525070236910913,0.1525690336720545,,
2025-03-01,400.0,68.0,10.0,8.0,0.17,0.536559681359698,0.2827227682077146,0.4732178307835935,0.26384283078359344
2025-04-01,400.0,114.0,10.0,9.0,0.285,0.5461544455913795,0.283594317767993,0.5345478991133317,0.22343678800222053
2025-05-01,400.0,43.0,10.0,5.0,0.1075,0.6240971324191358,0.3698441450316461,0.5059875633547308,0.3259875633547308
2025-06-01,400.0,147.0,10.0,9.0,0.3675,0.6560353597322823,0.29649115915245966,0.6094077533892429,0.20662997561146504
2025-07-01,400.0,79.0,10.0,7.0,0.1975,0.6098074604157173,0.325182839345907,0.5496636313587451,0.29609220278731657
2025-08-01,400.0,33.0,10.0,3.0,0.08249999999999999,0.6322353615378171,0.39345980581539786,0.5983826129878761,0.4067159463212094
2025-09-01,400.0,13.0,10.0,1.0,0.0325,0.3666578272195771,0.17780217923074002,0.19349180231533172,0.018491802315331735
